"","Estimate","Std. Error"
"beta_b",1.20245664968094,0.00143639969133346
"beta_a",-12.9777683554736,0.019213260515247
"beta_k",-1.90516176078873,0.0751461542483172
"beta_Linf",4.68239556347056,0.020495225863753
"beta_Linf",4.6540601797073,0.0235140846479845
"t0",-1.58594423359734,0.122089123395523
"beta_Ecov_k",0.809724300388648,0.102495072600408
"Ecov_mu",0.0213779833361367,0.0566916412361062
"Ecov_AR_pars",-0.658586846317438,0.493405822761966
"Ecov_AR_pars",-1.14627819517652,0.15379415334799
"k_AR_pars",-0.625861228184881,0.520424952537002
"k_AR_pars",-1.08027883499497,0.167591857865405
"beta_sig_Linf",-2.10875611678198,0.0102844487082107
"beta_sig_W_obs",-2.30670666723186,0.0102760439192303
